"","sesID","sesType","sesPart1Len","sesPart2Len","unlockingTime"
"8331",20109,"USES",44219,45290,1.071
"8332",20111,"USES",56024,57001,0.977
"8333",20113,"USES",22568,23823,1.255
"8334",20115,"USES",259567,261143,1.576
"8335",20119,"USES",25691,30221,4.53
"8336",20122,"USES",41219,42560,1.341
"8337",20124,"USES",61228,62743,1.515
"8338",20126,"USES",2409,3331,0.922
"8339",20128,"USES",28070,34654,6.584
"8340",20130,"USES",5389,6558,1.169
"8341",20132,"USES",1448,3139,1.691
"8342",20135,"USES",21000,24640,3.64
"8343",20137,"USES",483000,484116,1.116
"8344",20139,"USES",2543291,2544627,1.336
"8345",20141,"USES",13833,15090,1.257
"8346",20143,"USES",1712,13256,11.544
"8347",20146,"USES",188378,189604,1.226
